ticket_id,title,description,account,location,status,priority,source,estimated_hours,primary_resource,role,queue,issue_type,sub_issue_type,work_type,contract_name,sla,created_at,created_by,completed_at,due_at,first_response_at,resolution,completed_by,is_legacy,priority_numeric,estimated_hours_clean,is_completed,resolution_hours,resolution_days,first_response_minutes,hours_until_due,hours_past_due,title_word_count,description_word_count,ticket_text
T20260217.0002,MFA not working on mobile device,User replaced their phone and can no longer receive MFA push notifications. Needs MFA token re-enrolled.,ABLE Manufacturing HQ,Primary Location,New,High,Email,2.0,"Taylor, Mark",IT:Technician II,IT:Level I,SW:Change,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-17 07:00:00,"Administrator, Autotask",,2026-02-24 11:00:00,2026-02-17 07:00:00,,,False,3,2.0,False,,,0.0,172.0,,6,16,MFA not working on mobile device User replaced their phone and can no longer receive MFA push notifications. Needs MFA token re-enrolled.
T20251204.0001,Shared drive access denied,User in Accounting cannot access the shared S: drive. Permissions appear correct in AD but access is still denied.,ABLE Manufacturing HQ,Primary Location,New,Low,Email,2.0,"Moore, James",IT:Technician II,Triage,IT:Change,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2025-12-04 17:00:00,"Administrator, Autotask",,2025-12-12 11:00:00,2025-12-04 17:00:00,,,False,1,2.0,False,,,0.0,186.0,,4,19,Shared drive access denied User in Accounting cannot access the shared S: drive. Permissions appear correct in AD but access is still denied.
T20260213.0002,VPN connection drops intermittently,"Remote employee experiences frequent VPN disconnections throughout the day, disrupting access to internal resources.",ABLE Manufacturing HQ,Primary Location,New,Low,Email,2.0,"Moore, James",IT:Technician II,Triage,SW:Defect,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-13 16:30:00,"Administrator, Autotask",,2026-02-23 10:30:00,2026-02-13 16:30:00,,,False,1,2.0,False,,,0.0,234.0,,4,14,"VPN connection drops intermittently Remote employee experiences frequent VPN disconnections throughout the day, disrupting access to internal resources."
T20251210.0001,Desk phone not receiving calls,User's VoIP desk phone rings but no audio when answered. Other phones on the same switch work fine.,ABLE Manufacturing HQ,Primary Location,New,Critical,Email,2.0,"Anderson, Scott",IT:Service Manager,IT:Level II,IT:Change,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2025-12-10 17:00:00,"Administrator, Autotask",,2025-12-18 11:00:00,2025-12-10 17:00:00,,,False,4,2.0,False,,,0.0,186.0,,5,18,Desk phone not receiving calls User's VoIP desk phone rings but no audio when answered. Other phones on the same switch work fine.
T20260116.0002,Network printer offline,The Ricoh copier/printer in the main office shows offline status for all users. Physical device appears powered on.,ABLE Manufacturing HQ,Primary Location,New,Low,Email,2.0,"Moore, James",IT:Technician II,IT:Level II,IT:Hardware,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-01-16 23:30:00,"Administrator, Autotask",,2026-01-26 11:00:00,2026-01-16 23:30:00,,,False,1,2.0,False,,,0.0,227.5,,3,18,Network printer offline The Ricoh copier/printer in the main office shows offline status for all users. Physical device appears powered on.
T20260223.0003,VPN connection drops intermittently,"Remote employee experiences frequent VPN disconnections throughout the day, disrupting access to internal resources.",ABLE Manufacturing HQ,Primary Location,New,Medium,Email,2.0,"Moore, James",IT:Technician II,IT:Level I,SW:Change,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-23 20:30:00,"Administrator, Autotask",,2026-03-03 11:00:00,2026-02-23 20:30:00,,,False,2,2.0,False,,,0.0,182.5,,4,14,"VPN connection drops intermittently Remote employee experiences frequent VPN disconnections throughout the day, disrupting access to internal resources."
T20260105.0002,Zoom meeting room setup,Need to configure the new conference room TV and camera system for Zoom Rooms integration.,ABLE Manufacturing HQ,Primary Location,New,Low,Email,2.0,"Anderson, Scott",IT:Service Manager,Triage,IT:Applications,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-01-05 17:30:00,"Administrator, Autotask",,2026-01-13 11:00:00,2026-01-05 17:30:00,,,False,1,2.0,False,,,0.0,185.5,,4,15,Zoom meeting room setup Need to configure the new conference room TV and camera system for Zoom Rooms integration.
T20260208.0005,Windows update causing BSOD,Two workstations experiencing Blue Screen of Death after latest Windows cumulative update was installed.,ABLE Manufacturing HQ,Primary Location,New,Medium,Email,2.0,"Miller, Susan",SW:Support II,IT:Level II,SW:Defect,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-08 01:00:00,"Administrator, Autotask",,2026-02-16 11:00:00,2026-02-08 01:00:00,,,False,2,2.0,False,,,0.0,202.0,,4,14,Windows update causing BSOD Two workstations experiencing Blue Screen of Death after latest Windows cumulative update was installed.
T20260223.0002,VPN connection drops intermittently,"Remote employee experiences frequent VPN disconnections throughout the day, disrupting access to internal resources.",ABLE Manufacturing HQ,Primary Location,Complete,Medium,Email,2.0,"Moore, James",IT:Technician II,IT:Level I,SW:Change,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-23 20:30:00,"Administrator, Autotask",2026-03-02 10:22:00,2026-03-03 11:00:00,2026-02-23 20:30:00,"Diagnosed intermittent VPN disconnections to a conflicting network adapter driver (Intel Wi-Fi 6 AX201) running an outdated firmware version. Updated the adapter driver to v22.260.0, disabled IPv6 on the VPN tunnel adapter, and adjusted the idle timeout setting in the GlobalProtect client from 30 minutes to 0 (disabled). Verified stable VPN connectivity over a 4-hour remote session with no drops. User confirmed issue is resolved.","Moore, James",False,2,2.0,True,157.87,6.58,0.0,182.5,,4,14,"VPN connection drops intermittently Remote employee experiences frequent VPN disconnections throughout the day, disrupting access to internal resources."
T20260102.0002,Software license expired for Adobe Acrobat,Adobe Acrobat Pro license has expired for the Marketing department. Three users unable to edit PDFs.,ABLE Manufacturing HQ,Primary Location,Complete,Low,Email,2.0,"Taylor, Mark",IT:Technician II,IT:Change Requests,SW:Defect,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-01-02 11:30:00,"Administrator, Autotask",2026-01-07 18:30:00,2026-01-09 14:30:00,2026-01-02 11:30:00,Procured three Adobe Acrobat Pro renewal licenses through the company's volume licensing agreement. Activated licenses on all three Marketing workstations and confirmed PDF editing functionality restored.,"Taylor, Mark",False,1,2.0,True,127.0,5.29,0.0,171.0,,6,16,Software license expired for Adobe Acrobat Adobe Acrobat Pro license has expired for the Marketing department. Three users unable to edit PDFs.
T20260119.0001,Email bouncing back to external clients,Several external clients report emails to our sales team are bouncing back with a 550 error.,ABLE Manufacturing HQ,Primary Location,Complete,Critical,Email,2.0,"Moore, James",IT:Technician II,Triage,Triage,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-01-19 13:30:00,"Administrator, Autotask",2026-01-27 16:30:00,2026-01-26 16:30:00,2026-01-19 13:30:00,Identified an expired MX record pointing to a decommissioned mail relay. Updated DNS MX records to point to the current Exchange Online endpoints. Flushed DNS cache on the domain registrar. Confirmed external email delivery restored within 30 minutes.,"Moore, James",False,4,2.0,True,195.0,8.12,0.0,171.0,24.0,6,16,Email bouncing back to external clients Several external clients report emails to our sales team are bouncing back with a 550 error.
T20251207.0003,New user account creation,"HR requests new Active Directory account, email, and standard group memberships for incoming Accounting associate.",ABLE Manufacturing HQ,Primary Location,Complete,Low,Email,2.0,"Moore, James",IT:Technician II,IT:Change Requests,SW:Defect,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2025-12-07 19:00:00,"Administrator, Autotask",2025-12-09 11:30:00,2025-12-15 11:00:00,2025-12-07 19:00:00,"Created AD account with standard naming convention, added to Accounting security and distribution groups, provisioned Exchange Online mailbox, and configured OneDrive. Sent welcome credentials to the hiring manager via secure channel.","Moore, James",False,1,2.0,True,40.5,1.69,0.0,184.0,,4,15,"New user account creation HR requests new Active Directory account, email, and standard group memberships for incoming Accounting associate."
T20260110.0002,Request to install project management software,Project lead requesting installation of Monday.com desktop app on their workstation.,ABLE Manufacturing HQ,Primary Location,Complete,Low,Email,2.0,"Anderson, Scott",IT:Service Manager,IT:Level II,IT:Hardware,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-01-10 20:00:00,"Administrator, Autotask",2026-01-12 04:30:00,2026-01-19 11:00:00,2026-01-10 20:00:00,"Installed Monday.com desktop application, configured SSO integration with company Azure AD credentials, and verified the user can access their project boards. Added the application to the approved software list.","Anderson, Scott",False,1,2.0,True,32.5,1.35,0.0,207.0,,6,11,Request to install project management software Project lead requesting installation of Monday.com desktop app on their workstation.
T20260207.0003,Outlook not syncing emails,User reports Outlook on their workstation is not syncing new emails. Restarting the application did not resolve the issue.,ABLE Manufacturing HQ,Primary Location,Complete,Medium,Email,2.0,"Anderson, Scott",IT:Service Manager,IT:Level II,SW:Internal,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-07 20:00:00,"Administrator, Autotask",2026-02-14 09:30:00,2026-02-16 11:00:00,2026-02-07 20:00:00,Rebuilt the Outlook profile and cleared the local OST cache. Re-synced the mailbox from Exchange Online. Verified all folders syncing correctly and monitored for 2 hours with no recurrence.,"Anderson, Scott",False,2,2.0,True,157.5,6.56,0.0,207.0,,4,19,Outlook not syncing emails User reports Outlook on their workstation is not syncing new emails. Restarting the application did not resolve the issue.
T20260222.0006,New employee laptop setup,"New hire starting next Monday needs a laptop configured with standard software suite, email, and VPN access.",ABLE Manufacturing HQ,Primary Location,Complete,Low,Email,2.0,"Anderson, Scott",IT:Service Manager,Triage,Triage,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-22 14:00:00,"Administrator, Autotask",2026-02-23 01:30:00,2026-03-02 11:00:00,2026-02-22 14:00:00,"Configured new Dell Latitude with Windows 11, joined to domain, installed standard software suite (Office 365, Teams, GlobalProtect VPN, Adobe Reader). Set up email profile and verified VPN connectivity. Laptop ready for new hire.","Anderson, Scott",False,1,2.0,True,11.5,0.48,0.0,189.0,,4,17,"New employee laptop setup New hire starting next Monday needs a laptop configured with standard software suite, email, and VPN access."
T20260206.0005,Keyboard and mouse not responding,User's wireless keyboard and mouse stopped working. New batteries did not fix the issue.,ABLE Manufacturing HQ,Primary Location,Complete,Medium,Email,2.0,"Moore, James",IT:Technician II,Triage,SW:Change,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-06 20:00:00,"Administrator, Autotask",2026-02-08 23:30:00,2026-02-16 11:00:00,2026-02-06 20:00:00,"Determined the Logitech Unifying receiver had failed. Replaced the USB receiver, re-paired both the keyboard and mouse, and verified consistent input response. Provided a spare receiver to the user as backup.","Moore, James",False,2,2.0,True,51.5,2.15,0.0,231.0,,5,14,Keyboard and mouse not responding User's wireless keyboard and mouse stopped working. New batteries did not fix the issue.
T20260104.0001,MFA not working on mobile device,User replaced their phone and can no longer receive MFA push notifications. Needs MFA token re-enrolled.,ABLE Manufacturing HQ,Primary Location,Complete,High,Email,2.0,"Moore, James",IT:Technician II,IT:Change Requests,SW:Change,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-01-04 11:00:00,"Administrator, Autotask",2026-01-09 20:30:00,2026-01-12 11:00:00,2026-01-04 11:00:00,"Revoked the old MFA token in Azure AD, re-enrolled the user's new device with Microsoft Authenticator, and verified push notifications working. Confirmed successful MFA login from both mobile and desktop.","Moore, James",False,3,2.0,True,129.5,5.4,0.0,192.0,,6,16,MFA not working on mobile device User replaced their phone and can no longer receive MFA push notifications. Needs MFA token re-enrolled.
T20260213.0003,Request for additional monitor,Department manager requesting a second monitor for their workstation to improve productivity.,ABLE Manufacturing HQ,Primary Location,Complete,Low,Email,2.0,"Taylor, Mark",IT:Technician II,IT:Change Requests,SW:Internal,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-13 18:30:00,"Administrator, Autotask",2026-02-21 11:30:00,2026-02-23 11:00:00,2026-02-13 18:30:00,Deployed a 24-inch Dell monitor from inventory to the user's desk. Connected via DisplayPort through existing docking station. Configured dual-monitor extended display and adjusted resolution settings per user preference.,"Taylor, Mark",False,1,2.0,True,185.0,7.71,0.0,232.5,,4,12,Request for additional monitor Department manager requesting a second monitor for their workstation to improve productivity.
T20251222.0003,Desk phone not receiving calls,User's VoIP desk phone rings but no audio when answered. Other phones on the same switch work fine.,ABLE Manufacturing HQ,Primary Location,Complete,Medium,Email,2.0,"Miller, Susan",SW:Support II,Triage,SW:Support,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2025-12-22 07:00:00,"Administrator, Autotask",2025-12-23 13:30:00,2025-12-29 11:00:00,2025-12-22 07:00:00,Found the phone's audio codec settings had been reset to a non-supported format after a firmware auto-update. Reconfigured the codec priority to G.711 and rebooted the phone. Two-way audio confirmed working on both internal and external calls.,"Miller, Susan",False,2,2.0,True,30.5,1.27,0.0,172.0,,5,18,Desk phone not receiving calls User's VoIP desk phone rings but no audio when answered. Other phones on the same switch work fine.
T20251205.0004,Outlook not syncing emails,User reports Outlook on their workstation is not syncing new emails. Restarting the application did not resolve the issue.,ABLE Manufacturing HQ,Primary Location,Complete,Medium,Email,2.0,"Anderson, Scott",IT:Service Manager,IT:Level II,SW:Support,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2025-12-05 19:30:00,"Administrator, Autotask",2025-12-13 15:30:00,2025-12-15 11:00:00,2025-12-05 19:30:00,Rebuilt the Outlook profile and cleared the local OST cache. Re-synced the mailbox from Exchange Online. Verified all folders syncing correctly and monitored for 2 hours with no recurrence.,"Anderson, Scott",False,2,2.0,True,188.0,7.83,0.0,231.5,,4,19,Outlook not syncing emails User reports Outlook on their workstation is not syncing new emails. Restarting the application did not resolve the issue.
T20251209.0006,Printer jamming on 2nd floor,The shared HP LaserJet on the 2nd floor is consistently jamming when printing duplex jobs. Paper tray has been checked.,ABLE Manufacturing HQ,Primary Location,Complete,Medium,Email,2.0,"Anderson, Scott",IT:Service Manager,Triage,IT:Change,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2025-12-09 08:30:00,"Administrator, Autotask",2025-12-09 15:00:00,2025-12-16 11:30:00,2025-12-09 08:30:00,Cleaned the duplex unit rollers and replaced worn pickup rollers. Recalibrated the paper path and ran 50 test duplex prints with no jams. Issue resolved.,"Anderson, Scott",False,2,2.0,True,6.5,0.27,0.0,171.0,,5,20,Printer jamming on 2nd floor The shared HP LaserJet on the 2nd floor is consistently jamming when printing duplex jobs. Paper tray has been checked.
T20260121.0004,Backup job failed overnight,Nightly backup job for the file server failed with a timeout error. Last successful backup was 3 days ago.,ABLE Manufacturing HQ,Primary Location,Complete,Critical,Email,2.0,"Moore, James",IT:Technician II,IT:Level II,IT:Applications,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-01-21 15:00:00,"Administrator, Autotask",2026-01-23 06:00:00,2026-01-29 09:00:00,2026-01-21 15:00:00,"Identified that a runaway database process was locking files during the backup window. Rescheduled the database maintenance job to complete before the backup window. Cleared the stale lock files, restarted the backup agent, and successfully ran a full backup. Verified backup integrity with a test restore.","Moore, James",False,4,2.0,True,39.0,1.62,0.0,186.0,,4,19,Backup job failed overnight Nightly backup job for the file server failed with a timeout error. Last successful backup was 3 days ago.
T20260102.0004,New user account creation,"HR requests new Active Directory account, email, and standard group memberships for incoming Accounting associate.",ABLE Manufacturing HQ,Primary Location,Complete,Low,Email,2.0,"Anderson, Scott",IT:Service Manager,IT:Level II,SW:Internal,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-01-02 12:30:00,"Administrator, Autotask",2026-01-11 08:00:00,2026-01-09 15:30:00,2026-01-02 12:30:00,"Created AD account with standard naming convention, added to Accounting security and distribution groups, provisioned Exchange Online mailbox, and configured OneDrive. Sent welcome credentials to the hiring manager via secure channel.","Anderson, Scott",False,1,2.0,True,211.5,8.81,0.0,171.0,40.5,4,15,"New user account creation HR requests new Active Directory account, email, and standard group memberships for incoming Accounting associate."
T20260216.0002,Shared drive access denied,User in Accounting cannot access the shared S: drive. Permissions appear correct in AD but access is still denied.,ABLE Manufacturing HQ,Primary Location,Complete,Medium,Email,2.0,"Moore, James",IT:Technician II,IT:Change Requests,SW:Support,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-16 07:30:00,"Administrator, Autotask",2026-02-19 05:30:00,2026-02-23 11:00:00,2026-02-16 07:30:00,"Identified a stale cached credential causing the access denial. Cleared the Windows Credential Manager entries for the file server, remapped the S: drive, and verified full read/write access to the Accounting share.","Moore, James",False,2,2.0,True,70.0,2.92,0.0,171.5,,4,19,Shared drive access denied User in Accounting cannot access the shared S: drive. Permissions appear correct in AD but access is still denied.
T20260129.0001,Software license expired for Adobe Acrobat,Adobe Acrobat Pro license has expired for the Marketing department. Three users unable to edit PDFs.,ABLE Manufacturing HQ,Primary Location,Complete,Low,Email,2.0,"Taylor, Mark",IT:Technician II,IT:Level I,SW:Support,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-01-29 15:00:00,"Administrator, Autotask",2026-01-29 15:00:00,2026-02-06 09:00:00,2026-01-29 15:00:00,Procured three Adobe Acrobat Pro renewal licenses through the company's volume licensing agreement. Activated licenses on all three Marketing workstations and confirmed PDF editing functionality restored.,"Taylor, Mark",False,1,2.0,True,0.0,0.0,0.0,186.0,,6,16,Software license expired for Adobe Acrobat Adobe Acrobat Pro license has expired for the Marketing department. Three users unable to edit PDFs.
T20251203.0003,Teams calls have audio echo,Multiple users in the open office area report audio echo issues during Microsoft Teams calls.,ABLE Manufacturing HQ,Primary Location,Complete,Medium,Email,2.0,"Miller, Susan",SW:Support II,IT:Change Requests,SW:Change,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2025-12-03 06:30:00,"Administrator, Autotask",2025-12-12 14:30:00,2025-12-10 11:00:00,2025-12-03 06:30:00,"Identified that multiple users in close proximity were using laptop speakers instead of headsets, causing audio feedback loops. Distributed USB headsets to affected users and configured Teams audio settings to default to headset output. Echo issues eliminated.","Miller, Susan",False,2,2.0,True,224.0,9.33,0.0,172.5,51.5,5,15,Teams calls have audio echo Multiple users in the open office area report audio echo issues during Microsoft Teams calls.
T20251213.0004,Windows update causing BSOD,Two workstations experiencing Blue Screen of Death after latest Windows cumulative update was installed.,ABLE Manufacturing HQ,Primary Location,Complete,Critical,Email,2.0,"Taylor, Mark",IT:Technician II,IT:Level I,IT:Applications,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2025-12-13 15:30:00,"Administrator, Autotask",2025-12-22 09:30:00,2025-12-22 11:00:00,2025-12-13 15:30:00,"Identified KB5034441 as the problematic update conflicting with the Symantec endpoint agent. Booted both machines into Safe Mode, uninstalled the update, and added it to the WSUS decline list. Both workstations stable. Coordinated with Symantec support for a compatibility fix before re-deploying the update.","Taylor, Mark",False,4,2.0,True,210.0,8.75,0.0,211.5,,4,14,Windows update causing BSOD Two workstations experiencing Blue Screen of Death after latest Windows cumulative update was installed.
T20260220.0006,Internet speed slow at branch office,Branch office staff reporting significantly slower internet speeds since last week. ISP says no issues on their end.,ABLE Manufacturing HQ,Primary Location,Complete,High,Email,2.0,"Taylor, Mark",IT:Technician II,Triage,SW:Internal,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-20 01:30:00,"Administrator, Autotask",2026-02-23 12:00:00,2026-02-27 11:00:00,2026-02-20 01:30:00,Traced the issue to a failing WAN interface on the branch firewall showing CRC errors. Replaced the SFP module and patch cable. Speeds returned to the provisioned 500Mbps symmetric. Monitored for 48 hours with no further degradation.,"Taylor, Mark",False,3,2.0,True,82.5,3.44,0.0,177.5,,6,18,Internet speed slow at branch office Branch office staff reporting significantly slower internet speeds since last week. ISP says no issues on their end.
T20260101.0003,Server room temperature alert,Environmental monitoring system triggered a high-temperature alert in the server room. HVAC may be malfunctioning.,ABLE Manufacturing HQ,Primary Location,Complete,Critical,Email,2.0,"Anderson, Scott",IT:Service Manager,IT:Level I,SW:Change,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-01-01 19:30:00,"Administrator, Autotask",2026-01-11 05:30:00,2026-01-09 11:00:00,2026-01-01 19:30:00,Responded to the alert within 15 minutes. Found the primary CRAC unit had a frozen evaporator coil. Switched to the redundant cooling unit and contacted the HVAC vendor for emergency service. Primary unit repaired and back online within 4 hours. Temperature stabilized at 68掳F.,"Anderson, Scott",False,4,2.0,True,226.0,9.42,0.0,183.5,42.5,4,15,Server room temperature alert Environmental monitoring system triggered a high-temperature alert in the server room. HVAC may be malfunctioning.
T20260221.0004,Desk phone not receiving calls,User's VoIP desk phone rings but no audio when answered. Other phones on the same switch work fine.,ABLE Manufacturing HQ,Primary Location,Complete,Medium,Email,2.0,"Moore, James",IT:Technician II,IT:Change Requests,IT:Change,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-21 20:00:00,"Administrator, Autotask",2026-02-22 19:30:00,2026-03-02 11:00:00,2026-02-21 20:00:00,Found the phone's audio codec settings had been reset to a non-supported format after a firmware auto-update. Reconfigured the codec priority to G.711 and rebooted the phone. Two-way audio confirmed working on both internal and external calls.,"Moore, James",False,2,2.0,True,23.5,0.98,0.0,207.0,,5,18,Desk phone not receiving calls User's VoIP desk phone rings but no audio when answered. Other phones on the same switch work fine.
T20260211.0002,Laptop battery not holding charge,User's Dell laptop battery drains from 100% to 0% in under an hour. Laptop is 2 years old.,ABLE Manufacturing HQ,Primary Location,Complete,Medium,Email,2.0,"Taylor, Mark",IT:Technician II,IT:Level I,SW:Change,,,Able Manufacturing - Recurring Service,IT:Premium SLA,2026-02-11 02:00:00,"Administrator, Autotask",2026-02-18 11:00:00,2026-02-18 11:00:00,2026-02-11 02:00:00,Ran Dell battery diagnostics which confirmed the battery health at 12% capacity. Ordered and installed a replacement battery under the ProSupport warranty. New battery holds a full charge for 6+ hours. Calibrated the battery and updated BIOS.,"Taylor, Mark",False,2,2.0,True,177.0,7.38,0.0,177.0,0.0,5,18,Laptop battery not holding charge User's Dell laptop battery drains from 100% to 0% in under an hour. Laptop is 2 years old.
